"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"24"|"REG 01 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|36|0|0|4|0|0|4|NA|4|1|1|3|5|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"25"|"REG 02 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|22|0|0|1|0|0|1|NA|1|6|0|0|2|11|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"26"|"REG 04 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|638|0|0|52|0|0|52|NA|24|121|11|17|13|319|14|20|8|32|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"27"|"REG 05 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|62|0|0|0|0|0|0|NA|8|14|0|3|3|31|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"28"|"REG 06 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|54|0|0|4|0|0|4|NA|2|15|1|1|3|27|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"29"|"REG 07 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|42|0|0|0|0|0|0|NA|4|2|5|0|2|21|0|3|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"30"|"REG 10 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|286|0|0|24|0|0|24|NA|9|39|14|9|12|143|10|10|10|1|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"31"|"REG 11 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|162|0|0|16|0|0|16|NA|5|19|10|3|13|81|0|7|1|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"32"|"REG 13 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|378|0|0|30|0|0|30|NA|9|34|8|3|8|189|61|5|2|21|2|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"33"|"REG 14 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|22|0|0|0|0|0|0|NA|0|8|1|0|0|11|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"34"|"REG 19 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|78|0|2|3|0|1|4|0.5|6|15|3|5|3|39|0|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
"35"|"REG 20 EDUCATION SERVICE CENTER"|2021|"Non-BEP"|0|100|0|0|4|0|0|4|NA|7|12|3|4|6|50|0|5|0|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"36"|"Relay Graduate School of Education ACP"|2021|"Non-BEP"|0|110|190|0|20|12|0|32|NA|12|13|6|2|2|55|0|0|0|0|0|0|0|51|4|0|95|18|0|0|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"37"|"Rice University"|2021|"Non-BEP"|0|6|4|6|0|0|0|0|0|0|0|1|1|0|3|0|1|0|0|0|0|0|0|0|0|2|1|0|0|0|1|0|0|0|0|0|1|2|0|0|3|0|0|0|0
"38"|"Sam Houston State University"|2021|"Non-BEP"|0|138|46|960|27|6|102|135|0.10625|3|21|5|3|2|69|2|1|0|4|1|0|0|4|3|2|23|5|0|0|0|0|3|0|21|44|194|26|3|21|28|480|25|1|15|0
"39"|"South Texas Transition to Teaching ACP"|2021|"Non-BEP"|0|176|0|0|6|0|0|6|NA|7|23|0|4|3|88|0|0|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"40"|"Southwestern Assemblies of God Univ"|2021|"Non-BEP"|0|4|0|46|0|0|1|1|0.0217391304347826|0|1|0|0|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|11|1|0|1|0|23|0|0|5|0
"41"|"St Marys University"|2021|"Non-BEP"|0|2|0|34|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|5|1|2|2|0|17|0|0|2|0
