"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"297"|"The Texas Institute for Teacher Educatio"|2019|"Non-BEP"|0|222|0|0|20|0|0|20|NA|8|45|10|9|1|111|0|0|0|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"298"|"TNTP Academy - Fort Worth"|2019|"Non-BEP"|0|6|0|0|0|0|0|0|NA|0|3|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"299"|"Training via E-Learning: An Alt Crt Hybr"|2019|"Non-BEP"|0|54|0|0|2|0|0|2|NA|1|6|6|2|3|27|0|3|0|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"300"|"University of Houston"|2019|"Non-BEP"|0|26|16|662|0|0|18|18|0.027190332326284|0|1|5|6|0|13|0|1|0|0|0|0|1|3|0|0|8|3|0|0|0|1|0|0|13|34|173|42|23|21|6|331|0|1|0|0
"301"|"University of Houston-Clear Lake"|2019|"Non-BEP"|0|24|8|360|0|0|40|40|0.111111111111111|3|5|1|0|2|12|0|0|0|1|0|0|0|2|1|0|4|0|0|0|0|1|0|0|5|6|102|11|3|7|6|180|0|0|0|0
"302"|"University of Houston-Downtown"|2019|"Non-BEP"|0|2|6|604|0|0|123|123|0.20364238410596|1|0|0|0|0|1|0|0|0|0|0|0|0|0|2|0|3|1|0|0|0|0|0|0|1|0|172|3|0|3|0|302|0|0|0|0
"303"|"University of Houston-Victoria"|2019|"Non-BEP"|0|12|0|134|0|0|2|2|0.0149253731343284|1|3|0|1|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|51|2|0|3|5|67|0|0|3|0
"304"|"University of Mary Hardin-Baylor"|2019|"Non-BEP"|0|4|16|128|0|0|0|0|0|0|2|0|0|0|2|0|0|0|0|0|0|1|2|0|0|8|2|1|0|1|1|0|0|1|9|38|1|2|5|1|64|0|0|7|0
"305"|"University of North Texas"|2019|"BEP"|0|46|116|1054|5|15|141|161|0.133776091081594|2|6|3|2|1|23|0|1|0|2|1|0|2|16|2|5|58|10|0|1|3|4|0|0|25|79|152|22|21|31|35|527|4|4|12|1
"306"|"University of North Texas - Dallas"|2019|"BEP"|1|16|2|96|2|0|13|15|0.135416666666667|3|3|0|0|0|8|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|1|0|26|1|1|2|4|48|0|0|0|0
"307"|"University of Texas - Arlington"|2019|"BEP"|0|18|34|368|2|4|37|43|0.10054347826087|2|3|0|1|0|9|0|1|0|0|0|0|1|7|1|0|17|1|1|0|1|1|0|0|13|27|51|17|10|7|0|184|0|0|22|0
"308"|"University of Texas - Austin"|2019|"Non-BEP"|0|60|26|692|1|2|103|106|0.148843930635838|9|0|3|6|7|30|0|2|0|1|1|0|2|1|0|2|13|2|0|0|3|1|0|0|19|37|118|9|19|15|21|346|0|2|3|0
"309"|"University of Texas - El Paso"|2019|"Non-BEP"|0|46|2|520|1|0|45|46|0.0865384615384615|2|6|0|5|4|23|0|2|1|2|0|0|0|0|0|1|1|0|0|0|0|0|0|0|13|18|95|26|6|10|26|260|0|6|15|0
"310"|"University of Texas - Permian Basin"|2019|"Non-BEP"|0|98|98|78|6|5|0|11|0|5|21|3|4|4|49|0|1|1|2|2|0|2|28|0|8|49|2|1|0|3|0|0|0|3|4|26|2|0|0|2|39|0|0|2|0
"311"|"University of Texas - San Antonio"|2019|"Non-BEP"|0|16|56|476|0|3|22|25|0.046218487394958|0|2|3|0|1|8|0|1|0|1|0|0|0|8|0|9|28|2|2|0|3|1|0|0|18|19|105|11|6|16|22|238|0|0|19|0
"312"|"Urban Teachers"|2019|"Non-BEP"|0|388|0|0|68|0|0|68|NA|25|18|15|0|0|194|0|0|0|68|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"313"|"Wayland Baptist University"|2019|"Non-BEP"|0|6|10|52|0|0|0|0|0|1|1|0|0|0|3|0|0|0|0|1|0|2|3|0|0|5|0|0|0|0|0|0|0|0|2|12|4|1|2|5|26|0|0|0|0
"314"|"Weatherford College"|2019|"Non-BEP"|0|34|0|0|1|0|0|1|NA|6|0|3|1|1|17|0|0|1|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"315"|"Web-Centric Alternative Cert Program"|2019|"Non-BEP"|0|814|0|0|27|0|0|27|NA|45|176|13|22|29|407|7|7|22|56|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"316"|"West Texas A&M University"|2019|"Non-BEP"|0|174|2|240|2|0|0|2|0|6|41|6|4|6|87|4|2|8|5|3|0|0|0|0|0|1|0|0|0|0|0|1|0|9|34|50|2|1|2|5|120|13|0|4|0
"317"|"YES PREP PUBLIC SCHOOLS INC"|2019|"Non-BEP"|0|344|0|0|36|0|0|36|NA|24|67|9|12|5|172|0|2|1|13|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"318"|"ZZZ Entity for Testing & Training"|2019|"Non-BEP"|0|2|0|0|0|0|0|0|NA|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"319"|"Abilene Christian University"|2019|"Non-BEP"|0|0|40|154|0|9|23|32|0.149350649350649|0|0|0|0|0|0|0|0|0|0|0|0|0|7|1|1|20|0|0|0|2|0|0|0|8|9|29|2|1|2|3|77|0|0|0|0
"320"|"Austin College"|2019|"Non-BEP"|0|0|36|0|0|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|6|1|0|18|3|3|2|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"321"|"Baylor University"|2019|"Non-BEP"|0|0|4|328|0|0|48|48|0.146341463414634|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|9|26|45|14|9|3|6|164|1|1|2|0
"322"|"Concordia University"|2019|"Non-BEP"|0|0|2|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|16|0|0|1|0|19|0|0|1|0
"323"|"Dallas Baptist University"|2019|"Non-BEP"|0|0|22|62|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|5|0|0|11|0|2|0|2|0|0|0|2|1|27|0|0|1|0|31|0|0|0|0
"324"|"East Texas Baptist University"|2019|"Non-BEP"|0|0|2|64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|2|2|20|1|0|3|0|32|0|0|4|0
"325"|"Lamar University"|2019|"Non-BEP"|0|0|10|130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|5|1|1|0|1|1|0|0|8|14|20|3|1|4|1|65|0|4|10|0
"326"|"LeTourneau University"|2019|"Non-BEP"|0|0|54|40|0|7|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|0|1|27|2|1|0|1|0|0|0|1|0|12|5|2|0|0|20|0|0|0|0
"327"|"Lubbock Christian University"|2019|"Non-BEP"|0|0|6|76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|0|0|0|1|0|0|0|4|0|21|8|1|1|1|38|0|1|1|0
"328"|"Midwestern State University"|2019|"Non-BEP"|0|0|6|116|0|0|1|1|0.00862068965517241|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|3|0|0|0|0|0|0|0|4|1|32|4|0|7|1|58|0|1|7|0
"329"|"Rice University"|2019|"Non-BEP"|0|0|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|0|0|1|0|0|2|0|0|0|0|1|0|3|0|0|0|0
"330"|"Schreiner University"|2019|"Non-BEP"|0|0|6|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|3|0|1|0|0|0|0|0|4|0|8|0|0|0|0|12|0|0|0|0
"331"|"Southern Methodist University"|2019|"Non-BEP"|0|0|242|36|0|41|2|43|0.0555555555555556|0|0|0|0|0|0|0|0|0|0|0|0|0|52|5|0|121|7|0|0|6|10|0|0|2|10|3|0|0|1|0|18|0|0|0|0
"332"|"St Marys University"|2019|"Non-BEP"|0|0|2|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|5|3|1|0|2|0|16|0|2|2|0
"333"|"Texas A&M University - Central Texas"|2019|"Non-BEP"|0|0|14|56|0|0|3|3|0.0535714285714286|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|7|3|1|0|1|0|0|0|2|0|17|2|0|3|1|28|0|0|0|0
"334"|"Trinity University"|2019|"Non-BEP"|0|0|48|0|0|2|0|2|NA|0|0|0|0|0|0|0|0|0|0|0|0|4|6|2|5|24|1|0|0|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"335"|"University of Dallas"|2019|"Non-BEP"|0|0|16|18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|1|0|8|0|0|0|1|1|0|0|1|0|6|1|0|1|0|9|0|0|0|0
"336"|"University of St Thomas"|2019|"Non-BEP"|0|0|2|74|0|0|9|9|0.121621621621622|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|1|24|0|0|1|1|37|0|0|0|0
"337"|"University of Texas - Dallas"|2019|"BEP"|0|0|34|220|0|2|17|19|0.0772727272727273|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|0|17|2|0|0|5|1|0|0|11|0|38|18|17|9|0|110|0|0|0|0
"338"|"University of Texas - Rio Grande Valley"|2019|"Non-BEP"|0|0|2|908|0|0|69|69|0.0759911894273128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|22|44|217|34|15|13|21|454|0|3|16|0
"339"|"University of Texas - Tyler"|2019|"Non-BEP"|0|0|14|196|0|0|3|3|0.0153061224489796|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|7|3|0|1|1|1|0|0|4|4|64|7|6|4|0|98|0|0|6|0
"340"|"University of the Incarnate Word"|2019|"Non-BEP"|0|0|14|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|7|0|1|0|2|1|0|0|1|3|9|1|2|2|0|22|0|0|4|0
"341"|"Western Governors University"|2019|"Non-BEP"|0|0|4|0|0|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"342"|"Arlington Baptist University"|2019|"Non-BEP"|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|1|0|0|1|0|4|0|0|0|0
"343"|"Criswell College"|2019|"Non-BEP"|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|2|0|0|0|0
"344"|"Hardin-Simmons University"|2019|"Non-BEP"|0|0|0|74|0|0|9|9|0.121621621621622|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|15|1|2|5|0|37|0|0|0|0
"345"|"Howard Payne University"|2019|"Non-BEP"|0|0|0|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|13|0|0|2|0|23|0|0|3|0
"346"|"Jarvis Christian College"|2019|"Non-BEP"|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0
"347"|"Our Lady of the Lake University"|2019|"Non-BEP"|0|0|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|7|0|1|0|0|10|0|0|1|0
"348"|"Prairie View A&M University"|2019|"Non-BEP"|0|0|0|98|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|26|6|1|0|8|49|0|0|2|0
"349"|"Southwestern Adventist University"|2019|"Non-BEP"|0|0|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|0|0|0|0|11|0|0|0|0
"350"|"Southwestern University"|2019|"Non-BEP"|0|0|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|4|0|0|2|4|11|0|0|0|0
"351"|"St Edwards University"|2019|"Non-BEP"|0|0|0|40|0|0|5|5|0.125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|7|0|0|1|0|20|0|3|0|0
"352"|"Texas Christian University"|2019|"Non-BEP"|0|0|0|224|0|0|20|20|0.0892857142857143|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|21|50|2|0|1|14|112|0|1|0|0
"353"|"Texas College"|2019|"Non-BEP"|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|2|0
"354"|"Texas Southern University"|2019|"Non-BEP"|0|0|0|54|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|18|0|0|2|1|27|0|0|0|0
"355"|"University of Texas - Brownsville"|2019|"Non-BEP"|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0
"356"|"240 Certification"|2018|"Non-BEP"|0|44|0|0|5|0|0|5|NA|1|8|1|0|3|22|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"357"|"A Career in Education-ACP"|2018|"Non-BEP"|0|20|0|0|1|0|0|1|NA|1|3|0|0|1|10|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"358"|"A Career in Teaching-EPP (Corpus Christi"|2018|"Non-BEP"|0|80|0|0|0|0|0|0|NA|2|18|2|3|5|40|0|1|2|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"359"|"A Career in Teaching-EPP (McAllen)"|2018|"Non-BEP"|0|102|0|0|17|0|0|17|NA|4|18|1|4|1|51|0|0|1|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"360"|"A+ Texas Teachers"|2018|"Non-BEP"|0|15544|0|0|1041|0|0|1041|NA|693|2522|407|448|407|7772|280|302|353|1135|142|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"361"|"ACT-Houston"|2018|"Non-BEP"|0|572|0|0|64|0|0|64|NA|22|97|15|16|14|286|11|13|11|14|5|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"362"|"ACT-Houston at Dallas"|2018|"Non-BEP"|0|464|0|0|43|0|0|43|NA|27|70|11|9|19|232|6|11|11|20|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"363"|"ACT-Rio Grande Valley"|2018|"Non-BEP"|0|174|0|0|3|0|0|3|NA|15|18|2|6|9|87|11|6|6|7|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"364"|"Alamo Colleges"|2018|"Non-BEP"|0|54|0|0|1|0|0|1|NA|0|14|0|6|1|27|2|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"365"|"Alternative-South Texas Educator Program"|2018|"Non-BEP"|0|136|0|0|6|0|0|6|NA|8|18|5|5|0|68|11|3|1|6|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"366"|"Angelo State University"|2018|"Non-BEP"|0|10|22|216|0|0|0|0|0|0|3|0|0|1|5|0|1|0|0|0|0|1|3|0|2|11|1|2|0|0|2|0|0|7|7|65|5|2|4|15|108|2|1|0|0
"367"|"Austin Community College"|2018|"Non-BEP"|0|56|0|0|9|0|0|9|NA|0|10|2|2|0|28|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"368"|"Dallas ISD"|2018|"Non-BEP"|0|316|0|0|53|0|0|53|NA|12|59|12|16|0|158|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"369"|"Education Career Alternatives Program"|2018|"Non-BEP"|0|778|0|0|42|0|0|42|NA|27|98|19|20|18|389|46|24|34|44|13|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"370"|"EIT: Excellence in Teaching"|2018|"Non-BEP"|0|26|0|0|0|0|0|0|NA|2|7|0|4|0|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"371"|"Harris County Department of Ed"|2018|"Non-BEP"|0|20|0|0|1|0|0|1|NA|1|6|1|0|0|10|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"372"|"Houston Baptist University"|2018|"Non-BEP"|0|12|40|94|0|5|13|18|0.138297872340426|0|2|0|0|2|6|0|1|0|1|0|0|1|9|0|1|20|2|0|1|0|1|0|0|1|1|19|4|1|3|1|47|0|2|2|0
"373"|"Houston Community College System"|2018|"Non-BEP"|0|74|0|0|10|0|0|10|NA|2|14|5|3|0|37|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"374"|"HOUSTON ISD"|2018|"Non-BEP"|0|214|0|0|27|0|0|27|NA|19|35|9|6|10|107|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"375"|"Huston-Tillotson University"|2018|"Non-BEP"|0|28|6|14|3|0|0|3|0|1|7|1|0|0|14|0|1|1|0|0|0|0|2|1|0|3|0|0|0|0|0|0|0|0|0|2|0|1|0|1|7|0|0|3|0
"376"|"Intern Teacher ACP"|2018|"Non-BEP"|0|102|0|0|25|0|0|25|NA|0|26|0|0|0|51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"377"|"IteachTEXAS"|2018|"Non-BEP"|0|2730|0|0|73|0|0|73|NA|138|443|71|86|87|1365|81|60|102|202|11|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"378"|"Lone Star Colleges"|2018|"Non-BEP"|0|106|0|0|5|0|0|5|NA|3|19|6|2|3|53|2|3|2|6|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"379"|"McLennan Community College"|2018|"Non-BEP"|0|56|0|0|2|0|0|2|NA|3|12|0|5|2|28|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"380"|"McMurry University"|2018|"Non-BEP"|0|12|2|30|0|0|0|0|0|1|1|0|0|1|6|0|3|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|1|2|5|2|1|1|0|15|0|0|3|0
"381"|"Midwestern State University"|2018|"Non-BEP"|0|2|6|102|0|0|1|1|0.00980392156862745|0|0|0|0|0|1|0|1|0|0|0|0|0|2|0|0|3|0|0|0|0|1|0|0|3|4|25|4|3|5|3|51|0|0|3|0
"382"|"Mountain View College"|2018|"Non-BEP"|0|120|0|0|21|0|0|21|NA|2|25|6|1|0|60|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"383"|"North American University"|2018|"Non-BEP"|0|6|0|4|0|0|0|0|0|0|0|1|2|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|2|0|0|0|0
"384"|"Prairie View A&M University"|2018|"Non-BEP"|0|8|2|78|0|0|0|0|0|2|0|0|0|0|4|0|0|0|2|0|0|0|1|0|0|1|0|0|0|0|0|0|0|7|4|17|3|1|2|3|39|0|0|2|0
"385"|"REG 01 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|112|0|0|13|0|0|13|NA|8|12|4|9|6|56|2|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"386"|"REG 02 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|74|0|0|6|0|0|6|NA|1|15|3|4|5|37|0|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"387"|"REG 04 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|948|0|6|80|0|0|80|0|25|220|18|25|21|474|1|19|9|43|11|2|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|3|0|0|0|0
"388"|"REG 05 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|92|0|2|1|0|0|1|0|6|13|5|1|1|46|0|0|0|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
"389"|"REG 06 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|40|0|0|5|0|0|5|NA|1|10|0|1|1|20|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"390"|"REG 07 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|70|0|0|0|0|0|0|NA|2|17|1|2|4|35|0|2|2|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"391"|"REG 10 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|300|0|0|26|0|0|26|NA|16|46|8|7|9|150|15|5|5|9|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"392"|"REG 11 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|118|0|0|18|0|0|18|NA|5|12|4|3|9|59|0|3|2|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"393"|"REG 12 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|86|0|38|1|0|0|1|0|2|30|3|2|2|43|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|18|0|0|1|0|0|0|19|0|0|0|0
"394"|"REG 13 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|522|0|40|78|0|0|78|0|7|55|5|14|7|261|58|4|4|24|3|2|0|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|0|0|0|20|0|0|0|0
"395"|"REG 14 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|54|0|0|0|0|0|0|NA|0|21|1|2|0|27|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"396"|"REG 18 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|82|0|0|1|0|0|1|NA|7|22|2|2|3|41|0|0|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"397"|"REG 19 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|76|0|0|2|0|0|2|NA|3|12|3|4|5|38|0|3|3|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"398"|"REG 20 EDUCATION SERVICE CENTER"|2018|"Non-BEP"|0|272|0|0|24|0|0|24|NA|16|47|6|11|8|136|4|5|0|14|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"399"|"Relay Graduate School of Education ACP"|2018|"Non-BEP"|0|238|0|0|23|0|0|23|NA|6|81|4|2|3|119|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"400"|"Sam Houston State University"|2018|"Non-BEP"|0|82|24|1042|10|0|128|138|0.122840690978887|2|15|8|2|0|41|0|3|0|1|0|0|1|2|1|0|12|0|0|0|4|1|3|0|20|40|200|41|1|22|18|521|27|8|16|0
"401"|"Schreiner University"|2018|"Non-BEP"|0|4|4|24|0|0|0|0|0|2|0|0|0|0|2|0|0|0|0|0|0|0|1|0|0|2|0|1|0|0|0|0|0|2|0|7|2|0|1|0|12|0|0|0|0
"402"|"South Texas College"|2018|"Non-BEP"|0|4|0|0|1|0|0|1|NA|0|1|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"403"|"South Texas Transition to Teaching ACP"|2018|"Non-BEP"|0|126|0|0|11|0|0|11|NA|9|22|4|5|6|63|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"404"|"Southwestern Adventist University"|2018|"Non-BEP"|0|4|0|18|0|0|0|0|0|0|1|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|7|0|0|1|0|9|0|0|0|0
"405"|"St Marys University"|2018|"Non-BEP"|0|2|0|28|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2|4|0|1|1|0|14|0|1|0|0
"406"|"Stephen F Austin State University"|2018|"Non-BEP"|0|12|26|726|0|0|0|0|0|0|1|1|0|0|6|0|1|0|3|0|0|0|5|0|1|13|3|1|0|1|1|1|0|16|54|171|16|9|16|57|363|7|1|16|0
"407"|"Sul Ross State University - Alpine"|2018|"Non-BEP"|0|4|4|30|0|0|0|0|0|0|0|0|0|1|2|0|1|0|0|0|0|0|1|0|0|2|1|0|0|0|0|0|0|1|3|5|0|1|1|0|15|3|0|1|0
"408"|"Sul Ross State University - Rio Grande"|2018|"Non-BEP"|0|4|2|64|0|0|0|0|0|2|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|4|0|19|7|0|2|0|32|0|0|0|0
